UMAP1,UMAP2,cluster
1.6791873,3.8201323,1
2.66495,4.3678875,1
2.3899617,4.507014,1
1.9201148,4.4107018,1
2.2873101,4.380704,1
2.436743,4.458767,1
1.3065116,4.303795,1
2.308413,5.2998576,1
2.7161613,4.6011114,1
2.5224965,4.0551176,1
2.7691553,5.2089195,1
2.762563,4.0599008,1
1.6816894,3.2601984,2
2.3217084,4.229501,1
2.4536662,4.251943,1
2.2197864,4.4517603,1
2.2732003,4.532239,1
2.671363,4.3905563,1
2.3262196,4.4702764,1
2.2835624,5.409422,1
2.5564551,3.1822133,1
1.1541026,6.175829,0
0.30311897,7.1679792,0
-1.9807605,6.147998,0
2.1761198,4.897536,1
1.4461292,4.89156,1
-0.7206317,5.2952228,0
2.470705,3.4143116,1
1.9514841,2.9168005,2
-1.4307182,5.995234,0
1.0770038,5.7995524,0
2.5229433,3.1388993,1
0.32755926,7.1479435,0
1.8980813,3.9961183,1
-0.3757029,4.2808094,0
0.020715125,4.297807,0
2.869802,3.3675008,1
-1.5900099,6.2804966,0
2.4582708,3.6904685,1
2.4193368,5.271077,1
2.0550513,5.506972,1
3.199801,1.0002733,2
-0.49061248,5.641326,0
-0.68038213,5.3842635,0
2.7950342,4.4302545,1
2.2715857,5.1078463,1
1.9899993,5.0973735,1
3.346152,3.1471887,1
2.2118726,3.9313993,1
-1.7229348,5.7395096,0
1.9683919,5.108562,1
2.023806,2.1566274,2
3.0596986,4.443507,1
2.0169516,4.506803,1
0.85471076,5.6616626,0
3.0346806,4.3567476,1
1.9591595,4.9843135,1
-0.34963116,4.190498,0
0.99563676,4.5702085,0
1.958193,3.6309862,1
0.89821935,5.093253,0
1.0082806,4.9259453,0
-0.14532296,4.8896513,0
1.5465258,4.600691,1
1.6334848,4.63222,1
2.6045313,3.845896,1
2.8647945,0.94913816,2
1.3617265,3.578857,2
2.0225735,3.590488,1
-0.52010375,4.112537,0
1.1514232,5.0251474,0
2.487044,4.1188655,1
2.380307,3.8730857,1
2.57039,4.3100076,1
2.3375568,4.837233,1
2.0035956,4.8136106,1
1.8673023,4.972596,1
2.4655123,3.4803646,1
-2.179128,6.162182,0
1.517582,1.9835335,2
1.2476552,2.1237793,2
1.575079,2.1952477,2
1.2308302,2.1420941,2
1.3731798,1.6152077,2
1.2963696,1.8867943,2
-1.9891785,6.155416,0
0.7081922,1.792619,2
1.9240569,3.5499363,1
0.40058535,1.2423368,2
0.3858411,1.559255,2
-0.15047647,3.038353,2
-0.30390385,1.0281137,2
0.014874237,1.0328326,2
-0.8170174,2.6526048,2
0.7611548,1.772493,2
1.7047399,2.7678802,2
0.042606622,2.7931921,2
-0.2715358,2.3958964,2
0.8302424,1.3949165,2
-2.2188728,5.932367,0
-0.38220558,4.0654984,0
-0.69994,4.667417,0
1.4472934,2.5852304,2
0.2206064,2.0349844,2
1.2764897,2.7022269,2
2.5370235,3.966353,1
1.0417304,2.6881056,2
0.8823549,2.9794908,2
1.019659,2.9491785,2
1.4231153,5.6282377,0
-0.39264634,4.5656257,0
0.5599868,3.188392,2
0.5294113,3.2404182,2
0.5449341,2.9395013,2
-0.5487083,3.684544,0
0.86624324,2.309083,2
0.2744853,3.2917569,2
-1.7625207,5.755998,0
-2.0128891,5.6172795,0
0.28476122,2.7920415,2
-1.9961913,5.368083,0
1.8211813,2.4787467,2
-0.80572677,3.376842,0
1.9147255,2.2364051,2
0.20549604,2.5872304,2
-0.34269142,1.2900221,2
2.74563,4.4303713,1
0.45266837,1.3731056,2
-0.2868428,1.452001,2
2.6580906,3.2373676,1
1.7367594,1.3613806,2
0.7602155,0.9973138,2
2.1202085,2.7960405,2
1.690441,1.7813718,2
2.0777862,2.207017,2
0.4391474,2.320223,2
-0.776353,3.542557,0
1.903266,4.319175,1
0.9369342,3.7797368,2
0.3954407,1.9461205,2
-0.29379725,1.1464968,2
2.0488145,2.5141652,2
2.0613875,1.9577384,2
1.8769349,2.0610473,2
-0.7585545,5.0797677,0
-0.90362525,2.8395798,2
-0.89592844,0.8738236,2
1.1244642,2.68985,2
-0.6216265,3.9894905,0
1.7992225,1.8293458,2
-1.0924699,5.314576,0
1.1581423,2.585157,2
1.5237603,3.6157656,2
0.4145084,2.0072699,2
0.73581094,2.0598319,2
1.2459918,1.7925639,2
0.10348067,2.2441044,2
2.6255875,2.3865802,1
1.6509697,1.3247861,2
-0.05203488,3.240515,2
0.26845387,2.919381,2
2.0426056,1.7489526,2
1.3228958,2.34284,2
2.648878,3.9581096,1
-0.025833523,3.5342817,2
1.0349386,2.6220436,2
-2.0206707,6.0407524,0
0.22706129,1.7039329,2
0.53621197,3.375553,2
1.4190032,3.9631991,1
0.47263074,3.392861,2
0.06414966,3.5578575,2
0.94992906,3.3137243,2
-1.7416373,5.83232,0
-0.18337007,2.048099,2
-2.0334501,4.917884,0
0.31976098,3.2941797,2
0.8411776,2.4382854,2
1.9401673,2.0975256,2
0.19191365,0.9206482,2
1.1925443,1.1894529,2
1.142791,1.7980529,2
0.28983438,2.0045576,2
0.27634454,2.1940694,2
-0.9656467,1.1530231,2
1.1723311,2.8266985,2
-0.86465895,5.057529,0
1.4718953,2.4923933,2
-0.85441047,4.9955363,0
2.4796023,0.8946279,2
-1.0371264,3.865039,0
-0.66675055,0.9896212,2
0.8652706,2.2918735,2
-0.4060911,2.707046,2
1.6295592,1.9208542,2
-0.7201021,3.0593362,2
0.85199606,1.9757,2
0.6844664,2.238198,2
-1.5405726,5.330917,0
-0.53856206,1.6073925,2
-0.8303129,3.4812794,0
-2.2170277,5.718376,0
2.3020244,3.3919811,1
0.45396823,2.5294244,2
1.1643629,1.8596219,2
1.4814585,1.8005154,2
-0.9693464,4.795046,0
-2.1938102,5.805792,0
1.3631948,1.9971724,2
0.789953,2.3668106,2
-1.730033,5.44851,0
1.2770326,1.5842278,2
0.9680328,1.7923403,2
1.2614206,1.791396,2
-2.164874,5.6313567,0
-0.36457592,3.5660164,0
1.06248,1.5280755,2
1.7029765,1.7865001,2
0.19812512,2.2811587,2
1.4178898,1.9356337,2
1.3986487,1.9516551,2
-0.92544323,3.8112912,0
1.805046,2.6232226,2
0.95870316,1.6821135,2
1.3978966,1.2969538,2
1.0573828,1.5158144,2
0.49996862,1.0003561,2
0.34228,1.9047302,2
-0.3322662,0.70938265,2
1.0597686,1.2488558,2
0.35223043,1.6019354,2
0.30855298,1.1719121,2
0.4824617,1.0257818,2
-0.13133001,2.5537624,2
1.8507663,2.0150301,2
0.61565214,2.4630349,2
1.1604236,3.7949774,2
1.288973,1.6081265,2
0.7459957,3.119863,2
1.1766783,1.8976228,2
-1.0567362,2.2987905,2
0.15290923,3.4130776,2
1.1212739,3.7176604,2
-0.21793832,2.3344522,2
1.2174295,1.3764759,2
0.97610104,3.4036872,2
-0.90469867,5.0963073,0
-0.07499603,3.3090243,2
0.97883356,3.6817381,2
-0.72249395,3.1839721,2
0.57437116,3.6327488,2
0.33789766,1.8511211,2
-1.6283181,5.252591,0
1.5064318,1.5883632,2
-2.1805391,5.5890536,0
1.2019976,2.392558,2
1.4242587,1.9853805,2
1.8191463,1.6740421,2
0.870711,1.2891097,2
-2.1198337,5.880372,0
1.335389,1.739346,2
0.62221354,2.1299477,2
1.8242177,1.8244051,2
1.451734,2.6394374,2
-0.5850133,3.5893333,0
1.034569,2.502813,2
1.7652597,2.2985296,2
0.9220839,1.5671362,2
-0.69583726,4.6807823,0
0.22918181,3.397068,2
1.0336403,2.5965073,2
0.9017575,1.8505616,2
-2.2380533,5.792429,0
-0.08006042,3.597579,2
0.4178766,0.95847595,2
-0.9313879,4.8059464,0
1.2548689,5.92508,0
0.78364515,2.1047583,2
-0.109813266,1.3793738,2
0.42226365,2.4638581,2
0.75701094,1.4339797,2
2.706195,0.69452745,2
