UMAP1,UMAP2
2.671363,4.3905563
2.3262196,4.4702764
2.2835624,5.409422
2.5564551,3.1822133
1.1541026,6.175829
0.30311897,7.1679792
-1.9807605,6.147998
2.1761198,4.897536
1.4461292,4.89156
-0.7206317,5.2952228
2.470705,3.4143116
1.9514841,2.9168005
-1.4307182,5.995234
1.0770038,5.7995524
2.5229433,3.1388993
0.32755926,7.1479435
1.8980813,3.9961183
-0.3757029,4.2808094
0.020715125,4.297807
2.869802,3.3675008
-1.5900099,6.2804966
2.4582708,3.6904685
2.4193368,5.271077
2.0550513,5.506972
3.199801,1.0002733
-0.49061248,5.641326
-0.68038213,5.3842635
2.7950342,4.4302545
2.2715857,5.1078463
1.9899993,5.0973735
3.346152,3.1471887
2.2118726,3.9313993
-1.7229348,5.7395096
1.9683919,5.108562
2.023806,2.1566274
3.0596986,4.443507
2.0169516,4.506803
0.85471076,5.6616626
3.0346806,4.3567476
1.9591595,4.9843135
-0.34963116,4.190498
0.99563676,4.5702085
1.958193,3.6309862
0.89821935,5.093253
1.0082806,4.9259453
-0.14532296,4.8896513
1.5465258,4.600691
1.6334848,4.63222
2.6045313,3.845896
2.8647945,0.94913816
1.3617265,3.578857
2.0225735,3.590488
-0.52010375,4.112537
1.1514232,5.0251474
2.487044,4.1188655
2.380307,3.8730857
2.57039,4.3100076
2.3375568,4.837233
2.0035956,4.8136106
1.8673023,4.972596
2.4655123,3.4803646
-2.179128,6.162182
1.517582,1.9835335
1.2476552,2.1237793
1.575079,2.1952477
1.2308302,2.1420941
1.3731798,1.6152077
1.2963696,1.8867943
-1.9891785,6.155416
0.7081922,1.792619
1.9240569,3.5499363
0.40058535,1.2423368
0.3858411,1.559255
-0.15047647,3.038353
-0.30390385,1.0281137
0.014874237,1.0328326
-0.8170174,2.6526048
0.7611548,1.772493
1.7047399,2.7678802
0.042606622,2.7931921
-0.2715358,2.3958964
0.8302424,1.3949165
-2.2188728,5.932367
-0.38220558,4.0654984
-0.69994,4.667417
1.4472934,2.5852304
0.2206064,2.0349844
1.2764897,2.7022269
2.5370235,3.966353
1.0417304,2.6881056
0.8823549,2.9794908
1.019659,2.9491785
1.4231153,5.6282377
-0.39264634,4.5656257
0.5599868,3.188392
0.5294113,3.2404182
0.5449341,2.9395013
-0.5487083,3.684544
0.86624324,2.309083
0.2744853,3.2917569
-1.7625207,5.755998
-2.0128891,5.6172795
0.28476122,2.7920415
-1.9961913,5.368083
1.8211813,2.4787467
-0.80572677,3.376842
1.9147255,2.2364051
0.20549604,2.5872304
-0.34269142,1.2900221
2.74563,4.4303713
0.45266837,1.3731056
-0.2868428,1.452001
2.6580906,3.2373676
1.7367594,1.3613806
0.7602155,0.9973138
2.1202085,2.7960405
1.690441,1.7813718
2.0777862,2.207017
0.4391474,2.320223
-0.776353,3.542557
1.903266,4.319175
0.9369342,3.7797368
0.3954407,1.9461205
-0.29379725,1.1464968
2.0488145,2.5141652
2.0613875,1.9577384
1.8769349,2.0610473
-0.7585545,5.0797677
-0.90362525,2.8395798
-0.89592844,0.8738236
1.1244642,2.68985
-0.6216265,3.9894905
1.7992225,1.8293458
-1.0924699,5.314576
1.1581423,2.585157
1.5237603,3.6157656
0.4145084,2.0072699
0.73581094,2.0598319
1.2459918,1.7925639
0.10348067,2.2441044
2.6255875,2.3865802
1.6509697,1.3247861
-0.05203488,3.240515
0.26845387,2.919381
2.0426056,1.7489526
1.3228958,2.34284
2.648878,3.9581096
-0.025833523,3.5342817
1.0349386,2.6220436
-2.0206707,6.0407524
0.22706129,1.7039329
0.53621197,3.375553
1.4190032,3.9631991
0.47263074,3.392861
0.06414966,3.5578575
0.94992906,3.3137243
-1.7416373,5.83232
-0.18337007,2.048099
-2.0334501,4.917884
0.31976098,3.2941797
0.8411776,2.4382854
1.9401673,2.0975256
0.19191365,0.9206482
1.1925443,1.1894529
1.142791,1.7980529
0.28983438,2.0045576
0.27634454,2.1940694
-0.9656467,1.1530231
1.1723311,2.8266985
-0.86465895,5.057529
1.4718953,2.4923933
-0.85441047,4.9955363
2.4796023,0.8946279
-1.0371264,3.865039
-0.66675055,0.9896212
0.8652706,2.2918735
-0.4060911,2.707046
1.6295592,1.9208542
-0.7201021,3.0593362
0.85199606,1.9757
0.6844664,2.238198
-1.5405726,5.330917
-0.53856206,1.6073925
-0.8303129,3.4812794
-2.2170277,5.718376
2.3020244,3.3919811
0.45396823,2.5294244
1.1643629,1.8596219
1.4814585,1.8005154
-0.9693464,4.795046
-2.1938102,5.805792
1.3631948,1.9971724
0.789953,2.3668106
-1.730033,5.44851
1.2770326,1.5842278
0.9680328,1.7923403
1.2614206,1.791396
-2.164874,5.6313567
-0.36457592,3.5660164
1.06248,1.5280755
1.7029765,1.7865001
0.19812512,2.2811587
1.4178898,1.9356337
1.3986487,1.9516551
-0.92544323,3.8112912
1.805046,2.6232226
0.95870316,1.6821135
1.3978966,1.2969538
