Model,Precision,Recall,F1-Score
Random Forest,0.9883991572268547,0.9882154882154882,0.9882174876236633
SVM,0.9950460014154281,0.9949494949494949,0.9949572771485568
XGBoost,0.980095483991456,0.9797979797979798,0.9798016394327947
